timestamp,appName,duration
2025-04-26 16:20:58,pos-apply-sgp-aks-sea-emm-prd,1.183
2025-04-26 16:22:49,pos-apply-sgp-aks-sea-emm-prd,1.247
2025-04-26 16:24:44,pos-apply-sgp-aks-sea-emm-prd,0.703
2025-04-27 03:50:16,pos-apply-sgp-aks-sea-emm-prd,0.021
2025-04-27 08:08:38,pos-apply-sgp-aks-sea-emm-prd,0.035
2025-04-27 08:14:33,pos-apply-sgp-aks-sea-emm-prd,0.031
2025-04-27 09:09:39,pos-apply-sgp-aks-sea-emm-prd,0.021
2025-04-27 11:11:33,pos-apply-sgp-aks-sea-emm-prd,1.156
2025-04-27 11:12:03,pos-apply-sgp-aks-sea-emm-prd,0.644
2025-04-27 11:12:25,pos-apply-sgp-aks-sea-emm-prd,0.591
2025-04-27 11:13:32,pos-apply-sgp-aks-sea-emm-prd,1.039
2025-04-27 11:13:47,pos-apply-sgp-aks-sea-emm-prd,0.638
2025-04-27 11:13:59,pos-apply-sgp-aks-sea-emm-prd,0.667
2025-04-27 14:34:02,pos-apply-sgp-aks-sea-emm-prd,0.571
2025-04-27 15:19:11,pos-apply-sgp-aks-sea-emm-prd,0.732
2025-04-27 15:49:23,pos-apply-sgp-aks-sea-emm-prd,1.054
2025-04-28 03:47:51,pos-apply-sgp-aks-sea-emm-prd,0.055
2025-04-28 03:48:39,pos-apply-sgp-aks-sea-emm-prd,0.018
2025-04-28 06:26:45,pos-apply-sgp-aks-sea-emm-prd,20.036
2025-04-28 11:58:37,pos-apply-sgp-aks-sea-emm-prd,0.017
2025-04-28 11:58:43,pos-apply-sgp-aks-sea-emm-prd,0.019
2025-04-28 12:12:23,pos-apply-sgp-aks-sea-emm-prd,0.021
2025-04-28 12:12:51,pos-apply-sgp-aks-sea-emm-prd,0.021
2025-04-28 12:28:26,pos-apply-sgp-aks-sea-emm-prd,0.039
2025-04-28 13:09:58,pos-apply-sgp-aks-sea-emm-prd,0.031
2025-04-29 03:55:16,pos-apply-sgp-aks-sea-emm-prd,0.022
2025-04-29 03:55:25,pos-apply-sgp-aks-sea-emm-prd,0.021
2025-04-29 06:04:25,pos-apply-sgp-aks-sea-emm-prd,0.021
2025-04-29 07:20:19,pos-apply-sgp-aks-sea-emm-prd,0.053
2025-04-29 08:12:10,pos-apply-sgp-aks-sea-emm-prd,0.026
2025-04-29 08:12:20,pos-apply-sgp-aks-sea-emm-prd,0.015
2025-04-29 08:12:25,pos-apply-sgp-aks-sea-emm-prd,0.069
2025-04-29 08:13:17,pos-apply-sgp-aks-sea-emm-prd,0.04
2025-04-29 08:13:18,pos-apply-sgp-aks-sea-emm-prd,0.039
2025-04-29 08:14:23,pos-apply-sgp-aks-sea-emm-prd,0.021
2025-04-29 08:14:28,pos-apply-sgp-aks-sea-emm-prd,0.395
2025-04-29 08:57:18,pos-apply-sgp-aks-sea-emm-prd,0.043
2025-04-29 13:16:43,pos-apply-sgp-aks-sea-emm-prd,0.011
2025-04-30 01:42:38,pos-apply-sgp-aks-sea-emm-prd,0.065
2025-04-30 02:49:02,pos-apply-sgp-aks-sea-emm-prd,0.025
2025-04-30 02:49:13,pos-apply-sgp-aks-sea-emm-prd,0.027
2025-04-30 02:49:17,pos-apply-sgp-aks-sea-emm-prd,0.024
2025-04-30 02:50:35,pos-apply-sgp-aks-sea-emm-prd,0.025
2025-04-30 02:50:36,pos-apply-sgp-aks-sea-emm-prd,0.023
2025-04-30 02:52:13,pos-apply-sgp-aks-sea-emm-prd,0.026
2025-04-30 02:52:30,pos-apply-sgp-aks-sea-emm-prd,0.4
2025-04-30 03:00:59,pos-apply-sgp-aks-sea-emm-prd,0.025
2025-04-30 03:01:06,pos-apply-sgp-aks-sea-emm-prd,0.018
2025-04-30 03:01:11,pos-apply-sgp-aks-sea-emm-prd,0.024
2025-04-30 03:01:14,pos-apply-sgp-aks-sea-emm-prd,0.117
2025-04-30 07:09:25,pos-apply-sgp-aks-sea-emm-prd,1.296
2025-04-30 07:09:34,pos-apply-sgp-aks-sea-emm-prd,0.799
2025-04-30 08:07:39,pos-apply-sgp-aks-sea-emm-prd,0.044
2025-04-30 08:09:06,pos-apply-sgp-aks-sea-emm-prd,0.057
2025-05-01 05:59:02,pos-apply-sgp-aks-sea-emm-prd,30.058
2025-05-01 05:59:42,pos-apply-sgp-aks-sea-emm-prd,30.071
2025-05-01 06:01:40,pos-apply-sgp-aks-sea-emm-prd,5.017
2025-05-01 23:37:01,pos-apply-sgp-aks-sea-emm-prd,0.024
2025-05-01 23:37:18,pos-apply-sgp-aks-sea-emm-prd,0.028
2025-05-02 04:45:47,pos-apply-sgp-aks-sea-emm-prd,0.727
2025-05-02 04:45:58,pos-apply-sgp-aks-sea-emm-prd,0.922
2025-05-02 05:54:43,pos-apply-sgp-aks-sea-emm-prd,0.079
2025-05-02 05:54:50,pos-apply-sgp-aks-sea-emm-prd,0.035
2025-05-02 05:54:57,pos-apply-sgp-aks-sea-emm-prd,0.033
2025-05-02 05:55:03,pos-apply-sgp-aks-sea-emm-prd,0.025
2025-05-02 05:55:09,pos-apply-sgp-aks-sea-emm-prd,0.038
2025-05-02 05:55:15,pos-apply-sgp-aks-sea-emm-prd,0.034
2025-05-02 08:45:42,pos-apply-sgp-aks-sea-emm-prd,0.029
2025-05-02 08:45:55,pos-apply-sgp-aks-sea-emm-prd,0.025
2025-05-02 09:32:52,pos-apply-sgp-aks-sea-emm-prd,0.036
2025-05-02 12:33:57,pos-apply-sgp-aks-sea-emm-prd,0.576
2025-05-04 07:07:12,pos-apply-sgp-aks-sea-emm-prd,0.019
2025-05-04 07:07:44,pos-apply-sgp-aks-sea-emm-prd,0.027
